epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4978.31,0.99626,1.43307,1.20324,0.43667,0.42939,0.41208,0.34885,0.77918,2.12579,1.1245,3.73283e-05,3.73283e-05,3.73283e-05
2,8440.84,0.97606,1.35623,1.19163,0.46311,0.41212,0.41211,0.34964,0.78481,2.11636,1.13444,5.00233e-05,5.00233e-05,5.00233e-05
3,33213.1,0.98137,1.36589,1.19543,0.4426,0.43255,0.41891,0.35637,0.77021,2.04413,1.11752,3.80783e-05,3.80783e-05,3.80783e-05
